Reference type,Reference,Document reference,Type,Location,Category,SKU,Product,Quantity in,Cost in,Quantity out,Cost out,Total qty,Total cost
StockTake,ST-03165,Year end stock take,In,Warehouse Excess Stock,Mats,10374,GABRIELLA JADE LARGE,10,"3,519.39",0,0,,
StockTake,ST-03165,Year end stock take,In,Warehouse Excess Stock,Mats,10625,SUN BLOOM LARGE,20,"8,244.95",0,0,,
StockTake,ST-03165,Year end stock take,In,Warehouse Excess Stock,Mats Total,,,30,"11,764.34",0,0,30,"11,764.34"
,,,,,,,,,,,,,
StockTake,ST-03167,Year end Stock take,In,Quality Control,Gifting,24694,FRAGRANCE SACHET NIMBU MASALA,1,32.94,0,0,,
StockTake,ST-03167,Year end Stock take,In,Quality Control,Lampshades,25360,MAHAL GARDEN DRUM M,1,206.77,0,0,,
StockTake,ST-03167,Year end Stock take,In,Quality Control,Mats,24608,EXOTIC MARRAKESH AQUA LARGE,1,351.96,0,0,,
StockTake,ST-03167,Year end Stock take,In,Quality Control,Quilts,12363,QUILTS GARDEN TRELLIS DBL,1,"1,041.03",0,0,,
StockTake,ST-03167,Year end Stock take,In,Quality Control,Quilts,24040,VELVET QUILT TERRACOTTA DBL,1,844.04,0,0,,
StockTake,ST-03167,Year end Stock take,In,Quality Control,Quilts,24522,QUILT AQUA CANDELABRA DBL,1,884.5,0,0,,
StockTake,ST-03167,Year end Stock take,In,Quality Control,Quilts Total,,,3,"2,769.57",0,0,,
StockTake,ST-03167,Year end Stock take,In,Quality Control Total,,,,6,"3,361.24",0,0,,
StockTake,ST-03167,Year end Stock take,Out,Quality Control,Clothing,11526,SHIRT PRETTY DITSY SHORT L,0,0,1,107.7,,
StockTake,ST-03167,Year end Stock take,Out,Quality Control,Clothing,11527,SHIRT PRETTY DITSY SHORT XL,0,0,1,107.7,,
StockTake,ST-03167,Year end Stock take,Out,Quality Control,Clothing,11531,SHIRT PRETTY DITSY LONG L,0,0,1,112.83,,
StockTake,ST-03167,Year end Stock take,Out,Quality Control,Clothing,11533,SHIRT PRETTY DITSY LONG XXL,0,0,2,225.65,,
StockTake,ST-03167,Year end Stock take,Out,Quality Control,Clothing,11537,SHIRT PRETTY DITSY DRESS XL,0,0,2,297.45,,
StockTake,ST-03167,Year end Stock take,Out,Quality Control,Clothing,11606,SHIRT EXOTIC PLUM PAISLEY DRESS L,0,0,1,148.72,,
StockTake,ST-03167,Year end Stock take,Out,Quality Control,Clothing,12525,EMBROIDERED DRESS JADE M,0,0,1,770.13,,
StockTake,ST-03167,Year end Stock take,Out,Quality Control,Clothing,12527,EMBROIDERED DRESS JADE XL,0,0,1,487.24,,
StockTake,ST-03167,Year end Stock take,Out,Quality Control,Clothing,12528,EMBROIDERED DRESS PINK S,0,0,1,487.24,,
StockTake,ST-03167,Year end Stock take,Out,Quality Control,Clothing,12529,EMBROIDERED DRESS PINK M,0,0,1,770.13,,
